map,weapon,attacker_position.x,attacker_position.y,attacker_position.z,attacker_side,victim_position.x,victim_position.y,victim_position.z,victim_side
de_mirage,Glock,-323.96475,-1562.5325,-167.96875,Terrorist,-434.08572,-2350.5305,-167.96875,CT
de_mirage,Sg553,337.67972,-1467.7128,-175.96875,Terrorist,-1032.5897,-2499.0847,-167.96875,CT
de_mirage,Awp,-805.93225,-1215.8312,-167.96875,CT,-501.59622,-613.9182,-276.02277,Terrorist
de_mirage,Sg553,-528.1559,-1029.1797,-167.96875,CT,-702.36383,-826.76855,-263.96875,Terrorist
de_mirage,Awp,-805.93225,-1215.8312,-167.96875,CT,-501.59622,-613.9182,-276.02277,Terrorist
de_mirage,Sg553,-528.1559,-1029.1797,-167.96875,CT,-702.36383,-826.76855,-263.96875,Terrorist
de_mirage,Awp,-805.93225,-1215.8312,-167.96875,CT,-501.59622,-613.9182,-276.02277,Terrorist
de_mirage,Sg553,-528.1559,-1029.1797,-167.96875,CT,-702.36383,-826.76855,-263.96875,Terrorist
de_mirage,Ak47,8.433089,-1438.8179,-170.4219,Terrorist,-546.1611,-2368.1243,-167.9702,CT
de_mirage,Ak47,-334.47302,-1821.3691,-167.96875,Terrorist,-873.64825,-1309.2855,-167.96875,CT
de_mirage,Awp,-1370.5985,-2435.708,-212.24055,CT,-174.69247,-2090.7932,-167.96875,Terrorist
de_mirage,Awp,-1287.5977,-2454.8452,-194.36458,CT,66.5658,-2005.7001,-35.96875,Terrorist
de_mirage,Sg553,-1183.9688,-501.5917,-167.96875,CT,-710.7194,-816.4115,-263.96875,Terrorist
de_mirage,Sg553,-1184.811,-540.05145,-167.96875,CT,-254.42818,-688.9197,-253.51965,Terrorist
de_mirage,Sg553,-1183.9688,-501.5917,-167.96875,CT,-710.7194,-816.4115,-263.96875,Terrorist
de_mirage,Sg553,-1184.811,-540.05145,-167.96875,CT,-254.42818,-688.9197,-253.51965,Terrorist
de_mirage,M4a4,-877.73804,-290.01773,-167.96875,CT,417.61557,-550.5243,-166.16734,Terrorist
de_mirage,M4a4,-687.6742,-2157.0288,-179.96875,CT,82.36179,-2177.6067,-35.96875,Terrorist
de_mirage,Sg553,-1183.9688,-501.5917,-167.96875,CT,-710.7194,-816.4115,-263.96875,Terrorist
de_mirage,Sg553,-1184.811,-540.05145,-167.96875,CT,-254.42818,-688.9197,-253.51965,Terrorist
de_mirage,M4a4,-877.73804,-290.01773,-167.96875,CT,417.61557,-550.5243,-166.16734,Terrorist
de_mirage,M4a4,-687.6742,-2157.0288,-179.96875,CT,82.36179,-2177.6067,-35.96875,Terrorist
de_mirage,Deagle,-217.81151,-544.6361,-239.31905,Terrorist,-1183.1351,-671.24207,-167.96875,CT
de_mirage,Awp,-894.96155,-2575.48,-35.96875,CT,219.1987,-1493.7528,-175.96875,Terrorist
de_mirage,Ak47,-800.91,-861.4888,-167.96875,Terrorist,-460.47757,-1854.0553,-124.56892,CT
de_mirage,Awp,-894.96155,-2575.48,-35.96875,CT,219.1987,-1493.7528,-175.96875,Terrorist
de_mirage,Ak47,-800.91,-861.4888,-167.96875,Terrorist,-460.47757,-1854.0553,-124.56892,CT
de_mirage,P250,-425.8551,-453.31927,-166.61565,CT,-758.56165,-985.11365,-167.96875,Terrorist
de_mirage,Ak47,-375.99902,-1569.1324,-163.96875,Terrorist,125.884285,-2023.8325,-167.96875,CT
de_mirage,Awp,-894.96155,-2575.48,-35.96875,CT,219.1987,-1493.7528,-175.96875,Terrorist
de_mirage,Ak47,-800.91,-861.4888,-167.96875,Terrorist,-460.47757,-1854.0553,-124.56892,CT
de_mirage,P250,-425.8551,-453.31927,-166.61565,CT,-758.56165,-985.11365,-167.96875,Terrorist
de_mirage,Ak47,-375.99902,-1569.1324,-163.96875,Terrorist,125.884285,-2023.8325,-167.96875,CT
de_mirage,Ak47,-541.5741,-1741,-179.6686,Terrorist,-667.15607,-1279.8154,-167.96875,CT
de_mirage,Ak47,-318.89886,-2086.8823,-100.96875,Terrorist,-1002.4528,-2444.639,-131.03607,CT
de_mirage,M4a4,-628.46106,-1220.5448,-167.96875,CT,-814.77795,-2318.9321,-174.44652,Terrorist
de_mirage,Ak47,-719.99207,-1046.5984,-208.66586,Terrorist,-679.5036,-1490.879,-167.96875,CT
de_mirage,Ak47,-432.4778,353.00876,-117.62473,Terrorist,-823.4851,597.08704,-81.923515,CT
de_mirage,Ak47,-798.5036,-1400.244,-167.96875,Terrorist,201.08887,-2365.3074,-39.96875,CT
de_mirage,Ak47,-125.58915,-2136.2632,-167.96875,Terrorist,-1104.3379,-2430.561,-167.96875,CT
de_mirage,M4a4,-384.23154,-2169.7388,-177.33546,CT,-124.9848,-2138.3918,-167.96875,Terrorist
de_mirage,M4a4,-810.18286,80.76838,-165.96875,CT,-1819.9803,615.9559,-167.96875,Terrorist
de_mirage,Awp,-1851.9229,685.2155,-47.96875,Terrorist,-952.64166,111.874214,-169.78036,CT
de_mirage,Ak47,-1785.8837,645.1328,-23.96875,Terrorist,-2107.852,615.77106,-154.86688,CT
de_mirage,Ak47,-125.58915,-2136.2632,-167.96875,Terrorist,-1104.3379,-2430.561,-167.96875,CT
de_mirage,M4a4,-384.23154,-2169.7388,-177.33546,CT,-124.9848,-2138.3918,-167.96875,Terrorist
de_mirage,M4a4,-810.18286,80.76838,-165.96875,CT,-1819.9803,615.9559,-167.96875,Terrorist
de_mirage,Awp,-1851.9229,685.2155,-47.96875,Terrorist,-952.64166,111.874214,-169.78036,CT
de_mirage,Ak47,-1785.8837,645.1328,-23.96875,Terrorist,-2107.852,615.77106,-154.86688,CT
de_mirage,M4a4,-562.6693,420.28238,-204.40866,CT,-227.78711,502.16318,-79.63144,Terrorist
de_mirage,Awp,-2314.272,460.92984,-167.96875,Terrorist,-1745.7565,-634.67114,-167.96889,CT
de_mirage,Inferno,,,,CT,-1843.4264,306.27228,-146.83817,Terrorist
de_mirage,P250,-1209.2765,-589.7176,-167.96875,CT,382.1339,-360.72025,-167.96875,Terrorist
de_mirage,Ak47,474.61127,537.44794,-258.4346,Terrorist,25.565817,-674.2126,-189.96875,CT
de_mirage,P250,-1209.2765,-589.7176,-167.96875,CT,382.1339,-360.72025,-167.96875,Terrorist
de_mirage,Ak47,474.61127,537.44794,-258.4346,Terrorist,25.565817,-674.2126,-189.96875,CT
de_mirage,Ak47,355.84903,-119.76408,-165.96875,Terrorist,-288.44055,-758.17255,-253.21326,CT
de_mirage,P250,-37.999046,-369.94174,-166.56776,CT,347.61905,-105.22509,-171.76637,Terrorist
de_mirage,Ak47,385.07788,-109.31095,-169.56628,Terrorist,-45.928764,-356.34528,-151.96875,CT
de_mirage,Ak47,397.91525,-145.63171,-165.96875,Terrorist,-174.47206,-473.98056,-167.96867,CT
de_mirage,P250,-1209.2765,-589.7176,-167.96875,CT,382.1339,-360.72025,-167.96875,Terrorist
de_mirage,Ak47,474.61127,537.44794,-258.4346,Terrorist,25.565817,-674.2126,-189.96875,CT
de_mirage,Ak47,355.84903,-119.76408,-165.96875,Terrorist,-288.44055,-758.17255,-253.21326,CT
de_mirage,P250,-37.999046,-369.94174,-166.56776,CT,347.61905,-105.22509,-171.76637,Terrorist
de_mirage,Ak47,385.07788,-109.31095,-169.56628,Terrorist,-45.928764,-356.34528,-151.96875,CT
de_mirage,Ak47,397.91525,-145.63171,-165.96875,Terrorist,-174.47206,-473.98056,-167.96867,CT
de_mirage,P250,-1209.2765,-589.7176,-167.96875,CT,382.1339,-360.72025,-167.96875,Terrorist
de_mirage,Ak47,474.61127,537.44794,-258.4346,Terrorist,25.565817,-674.2126,-189.96875,CT
de_mirage,Ak47,355.84903,-119.76408,-165.96875,Terrorist,-288.44055,-758.17255,-253.21326,CT
de_mirage,P250,-37.999046,-369.94174,-166.56776,CT,347.61905,-105.22509,-171.76637,Terrorist
de_mirage,Ak47,385.07788,-109.31095,-169.56628,Terrorist,-45.928764,-356.34528,-151.96875,CT
de_mirage,Ak47,397.91525,-145.63171,-165.96875,Terrorist,-174.47206,-473.98056,-167.96867,CT
de_mirage,P250,-1209.2765,-589.7176,-167.96875,CT,382.1339,-360.72025,-167.96875,Terrorist
de_mirage,Ak47,474.61127,537.44794,-258.4346,Terrorist,25.565817,-674.2126,-189.96875,CT
de_mirage,Ak47,355.84903,-119.76408,-165.96875,Terrorist,-288.44055,-758.17255,-253.21326,CT
de_mirage,P250,-37.999046,-369.94174,-166.56776,CT,347.61905,-105.22509,-171.76637,Terrorist
de_mirage,Ak47,385.07788,-109.31095,-169.56628,Terrorist,-45.928764,-356.34528,-151.96875,CT
de_mirage,Ak47,397.91525,-145.63171,-165.96875,Terrorist,-174.47206,-473.98056,-167.96867,CT
de_mirage,P250,-1209.2765,-589.7176,-167.96875,CT,382.1339,-360.72025,-167.96875,Terrorist
de_mirage,Ak47,474.61127,537.44794,-258.4346,Terrorist,25.565817,-674.2126,-189.96875,CT
de_mirage,Ak47,355.84903,-119.76408,-165.96875,Terrorist,-288.44055,-758.17255,-253.21326,CT
de_mirage,P250,-37.999046,-369.94174,-166.56776,CT,347.61905,-105.22509,-171.76637,Terrorist
de_mirage,Ak47,385.07788,-109.31095,-169.56628,Terrorist,-45.928764,-356.34528,-151.96875,CT
de_mirage,Ak47,397.91525,-145.63171,-165.96875,Terrorist,-174.47206,-473.98056,-167.96867,CT
de_mirage,Ak47,685.66327,-1705.333,-196.43312,Terrorist,72.18527,-1438.1393,-175.96875,CT
de_mirage,Ak47,685.66327,-1705.333,-196.43312,Terrorist,72.18527,-1438.1393,-175.96875,CT
de_mirage,Ak47,685.66327,-1705.333,-196.43312,Terrorist,72.18527,-1438.1393,-175.96875,CT
de_mirage,Awp,22.085453,-1625.1028,-168.6583,CT,619.81866,-1511.8293,-263.96875,Terrorist
de_mirage,Awp,-2298.4473,108.806496,-167.96875,CT,-1777.142,710.8721,-47.96875,Terrorist
de_mirage,Ak47,685.66327,-1705.333,-196.43312,Terrorist,72.18527,-1438.1393,-175.96875,CT
de_mirage,Awp,22.085453,-1625.1028,-168.6583,CT,619.81866,-1511.8293,-263.96875,Terrorist
de_mirage,Awp,-2298.4473,108.806496,-167.96875,CT,-1777.142,710.8721,-47.96875,Terrorist
de_mirage,Awp,73.171486,-2171.2532,-35.96875,Terrorist,-688.52545,-2166.9312,-179.96875,CT
de_mirage,Ak47,46.80125,-1811.823,-63.17537,Terrorist,-392.11505,-2307.666,-167.97052,CT
de_mirage,Awp,69.19256,-2143.9717,-35.96875,Terrorist,-1310.3649,-2439.4973,-199.9412,CT
de_mirage,Ak47,685.66327,-1705.333,-196.43312,Terrorist,72.18527,-1438.1393,-175.96875,CT
de_mirage,Awp,22.085453,-1625.1028,-168.6583,CT,619.81866,-1511.8293,-263.96875,Terrorist
de_mirage,Awp,-2298.4473,108.806496,-167.96875,CT,-1777.142,710.8721,-47.96875,Terrorist
de_mirage,Awp,73.171486,-2171.2532,-35.96875,Terrorist,-688.52545,-2166.9312,-179.96875,CT
de_mirage,Ak47,46.80125,-1811.823,-63.17537,Terrorist,-392.11505,-2307.666,-167.97052,CT
de_mirage,Awp,69.19256,-2143.9717,-35.96875,Terrorist,-1310.3649,-2439.4973,-199.9412,CT
de_mirage,Ak47,685.66327,-1705.333,-196.43312,Terrorist,72.18527,-1438.1393,-175.96875,CT
de_mirage,Awp,22.085453,-1625.1028,-168.6583,CT,619.81866,-1511.8293,-263.96875,Terrorist
de_mirage,Awp,-2298.4473,108.806496,-167.96875,CT,-1777.142,710.8721,-47.96875,Terrorist
de_mirage,Awp,73.171486,-2171.2532,-35.96875,Terrorist,-688.52545,-2166.9312,-179.96875,CT
de_mirage,Ak47,46.80125,-1811.823,-63.17537,Terrorist,-392.11505,-2307.666,-167.97052,CT
de_mirage,Awp,69.19256,-2143.9717,-35.96875,Terrorist,-1310.3649,-2439.4973,-199.9412,CT
de_mirage,Ak47,-327.38812,-334.07034,-163.96875,Terrorist,-631.30676,-456.79813,-167.49995,CT
de_mirage,Awp,-801.42664,-2224.7485,-179.81851,CT,-592.6892,-344.17316,-167.96875,Terrorist
de_mirage,Awp,-1727.4395,826.7979,-47.96875,CT,-1459.6285,698.84534,-47.96875,Terrorist
de_mirage,Ak47,-327.38812,-334.07034,-163.96875,Terrorist,-631.30676,-456.79813,-167.49995,CT
de_mirage,Awp,-801.42664,-2224.7485,-179.81851,CT,-592.6892,-344.17316,-167.96875,Terrorist
